open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2026-02-28 23:00:00,67103.63000000,67210.00000000,66733.73000000,66973.26000000,483.13759000,2026-02-28 23:59:59,32355317.68605280,167457,201.68890000,13506519.80655490,0
2026-03-01 00:00:00,66973.26000000,67121.80000000,66620.50000000,66791.29000000,560.35194000,2026-03-01 00:59:59,37472155.80901980,185423,304.82012000,20393713.92453800,0
2026-03-01 01:00:00,66791.29000000,67703.32000000,66042.72000000,67339.36000000,1630.19028000,2026-03-01 01:59:59,108995343.83428730,360834,899.21803000,60174380.38049060,0
2026-03-01 02:00:00,67339.36000000,68199.99000000,67339.36000000,67620.65000000,1861.82270000,2026-03-01 02:59:59,126344237.88429430,418773,939.97406000,63793129.93187990,0
2026-03-01 03:00:00,67620.65000000,67813.33000000,67400.00000000,67502.16000000,637.99716000,2026-03-01 03:59:59,43121410.16066240,169341,298.67476000,20191065.06654550,0
2026-03-01 04:00:00,67502.16000000,67612.14000000,67079.36000000,67346.50000000,631.60541000,2026-03-01 04:59:59,42519575.50404460,135372,261.03313000,17570640.62942030,0
2026-03-01 05:00:00,67346.50000000,67574.65000000,67200.00000000,67292.09000000,437.89406000,2026-03-01 05:59:59,29525060.49471550,106422,212.55241000,14331212.10126400,0
2026-03-01 06:00:00,67292.08000000,67345.80000000,66749.35000000,66926.68000000,1159.96329000,2026-03-01 06:59:59,77705015.27895200,151457,474.15445000,31765848.91433010,0
2026-03-01 07:00:00,66926.69000000,67235.72000000,66784.58000000,67141.39000000,937.93278000,2026-03-01 07:59:59,62919705.92906090,118317,491.73358000,32982031.55574830,0
2026-03-01 08:00:00,67141.40000000,67292.30000000,66389.33000000,66560.14000000,1475.81311000,2026-03-01 08:59:59,98529048.33954990,214840,381.01048000,25485843.26016890,0
2026-03-01 09:00:00,66560.14000000,66771.10000000,66246.95000000,66410.08000000,815.73368000,2026-03-01 09:59:59,54247848.65866040,263885,372.03993000,24741013.24460760,0
2026-03-01 10:00:00,66410.09000000,66731.47000000,66215.71000000,66467.06000000,621.17753000,2026-03-01 10:59:59,41300697.71441490,171523,361.13300000,24014426.49826670,0
2026-03-01 11:00:00,66467.07000000,66661.61000000,66372.27000000,66468.03000000,338.19615000,2026-03-01 11:59:59,22491257.94799550,96844,176.37133000,11731300.69313660,0
2026-03-01 12:00:00,66468.04000000,66550.00000000,66241.97000000,66296.48000000,388.82935000,2026-03-01 12:59:59,25829283.03390940,118538,210.85385000,14009629.56136870,0
2026-03-01 13:00:00,66296.48000000,67360.57000000,66132.27000000,66934.79000000,1311.02111000,2026-03-01 13:59:59,87608503.26253500,297279,701.57740000,46919088.20026880,0
2026-03-01 14:00:00,66934.80000000,67320.19000000,66752.58000000,66847.80000000,911.62631000,2026-03-01 14:59:59,61042094.25565650,338803,465.29871000,31173781.37392630,0
2026-03-01 15:00:00,66847.80000000,67243.69000000,66828.60000000,66842.42000000,1028.55576000,2026-03-01 15:59:59,69002328.91139760,222798,606.52153000,40679415.49936120,0
2026-03-01 16:00:00,66842.42000000,67112.37000000,65730.28000000,66135.45000000,1500.74296000,2026-03-01 16:59:59,99766384.50922120,330626,659.11423000,43887446.67509450,0
2026-03-01 17:00:00,66135.45000000,66219.77000000,65699.98000000,65979.61000000,952.19730000,2026-03-01 17:59:59,62838531.05537480,254671,421.71538000,27834795.20324510,0
2026-03-01 18:00:00,65979.61000000,66657.44000000,65979.61000000,66316.83000000,906.08265000,2026-03-01 18:59:59,60132822.65109220,170597,526.66111000,34951018.59191380,0
2026-03-01 19:00:00,66316.84000000,66345.95000000,65772.29000000,65962.17000000,541.15631000,2026-03-01 19:59:59,35736876.96481540,128244,244.35122000,16138690.27815390,0
2026-03-01 20:00:00,65962.16000000,65962.16000000,65084.02000000,65300.00000000,961.21349000,2026-03-01 20:59:59,62863578.45558960,265153,447.74648000,29269497.55860310,0
2026-03-01 21:00:00,65300.01000000,65756.50000000,65281.83000000,65666.20000000,996.50526000,2026-03-01 21:59:59,65304755.18160990,151136,484.75362000,31771829.13117260,0
2026-03-01 22:00:00,65666.19000000,66491.43000000,65056.00000000,65268.71000000,1763.29476000,2026-03-01 22:59:59,115821632.16895290,328553,861.74246000,56632245.48329550,0
2026-03-01 23:00:00,65268.71000000,66080.00000000,65125.67000000,65776.47000000,831.95524000,2026-03-01 23:59:59,54665594.90038810,312584,406.72074000,26719879.09166160,0
2026-03-02 00:00:00,65776.48000000,66796.44000000,65761.04000000,66501.52000000,990.08260000,2026-03-02 00:59:59,65630671.08125270,405499,499.72613000,33145828.98758980,0
2026-03-02 01:00:00,66501.52000000,67079.00000000,66358.45000000,66532.02000000,886.93071000,2026-03-02 01:59:59,59150628.86839820,419193,502.17903000,33504019.06630220,0
2026-03-02 02:00:00,66532.02000000,66609.94000000,65890.50000000,66276.77000000,554.16265000,2026-03-02 02:59:59,36701143.35027190,265409,248.11387000,16430769.82650170,0
2026-03-02 03:00:00,66276.77000000,67037.22000000,66101.07000000,66820.03000000,509.41240000,2026-03-02 03:59:59,33978536.78237610,213840,274.10188000,18282019.85002240,0
2026-03-02 04:00:00,66820.03000000,66975.74000000,66633.13000000,66862.12000000,750.65203000,2026-03-02 04:59:59,50131953.93565880,162748,271.26539000,18118331.82498450,0
2026-03-02 05:00:00,66862.11000000,66995.64000000,66547.81000000,66730.78000000,887.19458000,2026-03-02 05:59:59,59244202.73208430,232259,348.41660000,23268523.60429830,0
2026-03-02 06:00:00,66730.78000000,66739.45000000,66062.83000000,66204.90000000,677.75967000,2026-03-02 06:59:59,44937679.36444270,241606,340.51962000,22567440.97449470,0
2026-03-02 07:00:00,66204.90000000,66209.46000000,65542.60000000,66007.52000000,1294.85905000,2026-03-02 07:59:59,85220358.88756410,281351,645.45005000,42493627.61698380,0
2026-03-02 08:00:00,66007.80000000,66306.00000000,65654.54000000,66282.00000000,1104.41132000,2026-03-02 08:59:59,72841996.80239450,267013,575.44129000,37962290.98928450,0
2026-03-02 09:00:00,66281.99000000,66720.84000000,66164.96000000,66168.62000000,1786.28426000,2026-03-02 09:59:59,118645127.39840430,329541,509.91802000,33870518.26107280,0
2026-03-02 10:00:00,66168.61000000,66381.74000000,66079.24000000,66316.40000000,436.29038000,2026-03-02 10:59:59,28898262.58383750,215364,229.33286000,15189976.76995590,0
2026-03-02 11:00:00,66316.39000000,66462.40000000,66003.59000000,66359.68000000,1034.77975000,2026-03-02 11:59:59,68475239.16181990,239015,323.90079000,21446842.13098300,0
2026-03-02 12:00:00,66359.67000000,66391.38000000,65874.92000000,65963.43000000,763.09374000,2026-03-02 12:59:59,50401600.65345900,218778,201.16637000,13298999.80986840,0
2026-03-02 13:00:00,65963.43000000,66157.28000000,65350.00000000,65440.01000000,1576.81345000,2026-03-02 13:59:59,103639038.06141320,424092,765.14888000,50338098.59826540,0
2026-03-02 14:00:00,65440.01000000,67220.81000000,65259.21000000,67177.06000000,3015.13713000,2026-03-02 14:59:59,199785731.32222630,806093,1723.53377000,114281382.49249260,0
2026-03-02 15:00:00,67177.05000000,69617.74000000,66975.29000000,69130.20000000,5476.56874000,2026-03-02 15:59:59,375756893.66994520,1081007,2975.20288000,203967562.49860170,0
2026-03-02 16:00:00,69130.20000000,70096.00000000,68933.69000000,69428.62000000,3440.03188000,2026-03-02 16:59:59,239243971.93922490,803375,1836.93962000,127808569.92054880,0
2026-03-02 17:00:00,69428.62000000,69578.00000000,68793.88000000,69198.00000000,1445.44150000,2026-03-02 17:59:59,100066445.65577530,398888,731.75075000,50670972.76000980,0
